股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
603608,*ST天创,1.92,2.66,2.69,2.58,2.61,0.05,0.78,0.82,-60.3,32764,8644744.0,2.61,1116424270,1116424270,1.603608,沪A,2024-06-14 16:11:47,2024-06-14
000727,冠捷科技,1.91,2.13,2.14,2.07,2.09,0.04,1.06,1.18,448.54,479172,101103429.22,2.09,9647977667,9647977667,0.000727,深A,2024-06-14 15:34:39,2024-06-14
300498,温氏股份,1.91,20.84,20.84,20.02,20.46,0.39,1.14,1.74,-28.04,621566,1266733518.57,20.45,138646771857,113348958209,0.300498,深A,2024-06-14 15:35:00,2024-06-14
600808,马钢股份,1.9,2.14,2.15,2.1,2.1,0.04,0.64,1.19,-13.33,379883,80842787.0,2.1,16578447290,12770987538,1.600808,沪A,2024-06-14 16:11:49,2024-06-14
600369,西南证券,1.9,3.75,3.77,3.66,3.67,0.07,0.62,1.71,27.14,394091,146448273.0,3.68,24919159215,23681659215,1.600369,沪A,2024-06-14 16:11:43,2024-06-14
601799,星宇股份,1.9,123.81,124.41,118.83,121.22,2.31,0.51,1.28,36.42,14624,178419373.0,121.5,35369968866,35369968866,1.601799,沪A,2024-06-14 16:11:52,2024-06-14
002943,宇晶股份,1.9,20.38,20.98,19.7,19.72,0.38,11.82,2.85,34.39,142401,288941133.57,20.0,4156716702,2454493221,0.002943,深A,2024-06-14 15:34:12,2024-06-14
002181,粤 传 媒,1.9,3.76,3.78,3.66,3.67,0.07,0.69,0.87,-81.55,78700,29433217.38,3.69,4365578734,4265578895,0.002181,深A,2024-06-14 15:34:36,2024-06-14
600927,XD永安期,1.89,11.85,11.88,11.53,11.64,0.22,0.71,1.25,55.31,37577,43943103.0,11.63,17248333339,6251088347,1.600927,沪A,2024-06-14 16:11:45,2024-06-14
601108,财通证券,1.89,7.01,7.05,6.81,6.86,0.13,1.04,1.91,17.84,482061,334151112.0,6.88,32552614274,32552614274,1.601108,沪A,2024-06-14 16:11:57,2024-06-14
